/*-----------------------------------------------------------------
* NUMERO INDIVIDUOS: 10 	 CROSS-OVER: 0.90
* NUMERO GERACOES  : 100 	 MUTACAO   : 0.40
* NUM MAXIMO NOS   : 30 	 ELITISMO  : 0.05
* PROFUNDIDADE MAX : 3 	 
*-----------------------------------------------------------------*/
Seed 8: 
MELHOR: (*(x1)(/(+(/(x1)(0.04465))(+(/(-(x1)(sqrt(cos(sin(-(*(*(*(sqrt(sin(cos(cos(0.04465)))))(x1))(0.06983))(x1))(0.39772))))))(0.04465))(x1)))(0.04465))) | Numero de nos: 30 | Erro: 107583494946816.0000000000000000000000000 |
MELHOR: (*(x1)(/(+(/(x1)(0.04465))(+(/(-(x1)(sqrt(cos(sin(-(*(*(*(sqrt(sin(cos(cos(0.04465)))))(x1))(0.17142))(x1))(0.06983))))))(0.04465))(x1)))(0.04465))) | Numero de nos: 30 | Erro: 107566860337152.0000000000000000000000000 |
MELHOR: (*(x1)(/(+(/(x1)(0.04465))(+(/(-(x1)(sqrt(cos(sin(-(*(*(*(sqrt(sin(cos(cos(0.04465)))))(x1))(0.06983))(x1))(0.39772))))))(0.04465))(x1)))(0.04465))) | Numero de nos: 30 | Erro: 107583494946816.0000000000000000000000000 |
MELHOR: (*(x1)(/(+(/(x1)(0.04465))(+(/(-(x1)(sqrt(cos(sin(-(*(*(*(sqrt(sin(cos(cos(0.04465)))))(x1))(0.06983))(x1))(0.39772))))))(0.04465))(x1)))(0.04465))) | Numero de nos: 30 | Erro: 107583494946816.0000000000000000000000000 |
MELHOR: (*(x1)(/(+(/(x1)(0.04465))(+(/(-(x1)(sqrt(cos(sin(-(*(*(*(sqrt(sin(cos(cos(0.04465)))))(x1))(0.06983))(x1))(0.39772))))))(0.04465))(x1)))(0.04215))) | Numero de nos: 30 | Erro: 96476533358592.0000000000000000000000000 |
MELHOR: (*(x1)(/(+(/(x1)(0.04465))(+(/(-(x1)(sqrt(cos(sin(-(*(*(*(sqrt(sin(cos(cos(0.04465)))))(x1))(0.06983))(x1))(0.39772))))))(0.04465))(x1)))(0.04215))) | Numero de nos: 30 | Erro: 96476533358592.0000000000000000000000000 |
MELHOR: (*(x1)(/(+(/(x1)(0.04465))(+(/(-(x1)(sqrt(cos(sin(-(*(*(*(sqrt(sin(cos(cos(0.04465)))))(x1))(0.06983))(x1))(0.39772))))))(0.04465))(x1)))(0.04215))) | Numero de nos: 30 | Erro: 96476533358592.0000000000000000000000000 |
MELHOR: (*(x1)(/(+(/(x1)(0.04465))(+(/(-(x1)(sqrt(+(/(sin(x1))(sqrt(+(+(sin(-(0.06336)(sqrt(x1))))(0.79302))(x1))))(0.18534))))(0.04465))(x1)))(0.04215))) | Numero de nos: 30 | Erro: 96066967961600.0000000000000000000000000 |
MELHOR: (*(x1)(/(+(/(x1)(0.04465))(+(/(-(x1)(sqrt(cos(sin(-(*(cos(0.06104))(x1))(0.39772))))))(0.04465))(x1)))(0.04465))) | Numero de nos: 23 | Erro: 107562783473664.0000000000000000000000000 |
MELHOR: (*(x1)(/(+(/(x1)(0.04465))(+(+(/(-(x1)(-(0.72900)(x1)))(0.04465))(0.04465))(x1)))(0.04465))) | Numero de nos: 19 | Erro: 43753414852608.0000000000000000000000000 |
MELHOR: (*(x1)(/(+(/(x1)(0.04465))(+(/(-(x1)(sqrt(cos(sqrt(sqrt(-(/(sin(x1))(x1))(x1)))))))(0.04465))(+(/(0.12607)(x1))(-(x1)(0.62423)))))(0.04465))) | Numero de nos: 30 | Erro: 107318012280832.0000000000000000000000000 |
