/*-----------------------------------------------------------------
* NUMERO INDIVIDUOS: 100 	 CROSS-OVER: 0.90
* NUMERO GERACOES  : 1000 	 MUTACAO   : 0.50
* NUM MAXIMO NOS   : 30 	 ELITISMO  : 0.05
* PROFUNDIDADE MAX : 3 	 
*-----------------------------------------------------------------*/
Seed 8: 
MELHOR: (-(/(0.66405)(x1))(/(+(*(0.29295)(+(/(x1)(/(/(/(0.55196)(x1))(x1))(-(-(-(x1)(-(x1)(x1)))(x1))(x1))))(0.19279)))(0.38224))(0.50313))) | Numero de nos: 29 | Erro: 1595066286080.0000000000000000000000000 |
MELHOR: (-(/(0.66405)(x1))(/(+(*(0.29295)(+(/(x1)(/(/(/(0.55196)(x1))(x1))(-(-(-(x1)(-(x1)(x1)))(x1))(x1))))(0.19279)))(0.38224))(0.50313))) | Numero de nos: 29 | Erro: 1595066286080.0000000000000000000000000 |
MELHOR: (-(/(0.66405)(x1))(/(+(*(0.29295)(+(/(x1)(/(/(/(0.55196)(x1))(x1))(-(-(-(x1)(-(x1)(x1)))(x1))(x1))))(0.19279)))(0.38224))(0.50313))) | Numero de nos: 29 | Erro: 1595066286080.0000000000000000000000000 |
MELHOR: (-(/(0.66405)(x1))(/(+(*(0.29295)(+(/(x1)(/(/(/(0.55196)(x1))(x1))(-(-(-(x1)(-(x1)(x1)))(x1))(x1))))(0.19279)))(0.38224))(0.50313))) | Numero de nos: 29 | Erro: 1595066286080.0000000000000000000000000 |
MELHOR: (-(/(0.46242)(x1))(/(+(*(0.29295)(+(/(x1)(/(/(/(0.55196)(x1))(x1))(-(-(-(x1)(-(0.75915)(0.34962)))(x1))(x1))))(0.19279)))(0.38224))(0.50313))) | Numero de nos: 29 | Erro: 1406769954816.0000000000000000000000000 |
MELHOR: (-(/(0.66405)(x1))(/(+(*(0.29295)(+(/(x1)(/(/(/(0.95923)(x1))(x1))(-(-(-(x1)(*(0.67437)(x1)))(x1))(x1))))(0.19279)))(0.38224))(0.50313))) | Numero de nos: 29 | Erro: 357690212352.0000000000000000000000000 |
MELHOR: (-(/(0.66405)(x1))(/(+(*(0.29295)(+(/(x1)(/(/(/(0.95923)(x1))(x1))(-(-(-(x1)(*(0.67437)(x1)))(x1))(x1))))(0.19279)))(0.38224))(0.50313))) | Numero de nos: 29 | Erro: 357690212352.0000000000000000000000000 |
MELHOR: (-(/(0.66405)(x1))(/(+(*(0.29295)(+(/(x1)(/(/(/(0.95923)(x1))(x1))(-(-(-(x1)(*(0.67437)(x1)))(x1))(x1))))(0.19279)))(0.38224))(0.50313))) | Numero de nos: 29 | Erro: 357690212352.0000000000000000000000000 |
MELHOR: (-(/(0.66405)(x1))(/(+(*(0.29295)(+(/(x1)(/(/(/(0.95923)(x1))(x1))(-(-(-(x1)(*(0.67437)(x1)))(x1))(x1))))(0.19279)))(0.38224))(0.50313))) | Numero de nos: 29 | Erro: 357690212352.0000000000000000000000000 |
MELHOR: (-(/(0.66405)(x1))(/(+(*(0.29295)(+(/(x1)(/(/(/(0.95923)(x1))(x1))(-(-(-(x1)(*(0.67437)(x1)))(x1))(x1))))(0.19279)))(0.38224))(0.50313))) | Numero de nos: 29 | Erro: 357690212352.0000000000000000000000000 |
MELHOR: (-(/(0.66405)(x1))(/(+(*(0.29295)(+(/(x1)(/(/(/(0.95923)(x1))(x1))(-(-(-(x1)(*(0.67437)(x1)))(x1))(x1))))(0.19279)))(0.38224))(0.50313))) | Numero de nos: 29 | Erro: 357690212352.0000000000000000000000000 |
MELHOR: (-(/(x1)(x1))(/(+(*(0.29295)(+(/(x1)(/(/(/(0.57244)(x1))(x1))(-(-(-(x1)(-(0.61235)(0.37819)))(x1))(x1))))(x1)))(0.38224))(0.50313))) | Numero de nos: 29 | Erro: 270356660224.0000000000000000000000000 |
MELHOR: (-(/(x1)(x1))(/(+(*(0.29295)(+(/(x1)(/(/(/(0.57244)(x1))(x1))(-(-(-(x1)(-(0.61235)(0.37819)))(x1))(x1))))(x1)))(0.38224))(0.50313))) | Numero de nos: 29 | Erro: 270356660224.0000000000000000000000000 |
MELHOR: (-(/(x1)(x1))(/(+(*(0.29295)(+(/(x1)(/(/(/(0.57244)(x1))(x1))(-(-(-(x1)(-(0.61235)(0.37819)))(x1))(x1))))(x1)))(0.38224))(0.50313))) | Numero de nos: 29 | Erro: 270356660224.0000000000000000000000000 |
MELHOR: (-(/(x1)(x1))(/(+(*(0.29295)(+(/(x1)(/(/(/(0.57244)(x1))(x1))(-(-(-(x1)(-(0.61235)(0.37819)))(x1))(x1))))(x1)))(0.38224))(0.50313))) | Numero de nos: 29 | Erro: 270356660224.0000000000000000000000000 |
MELHOR: (-(/(x1)(0.50313))(/(+(*(0.29295)(+(/(x1)(/(/(/(0.57244)(x1))(x1))(-(-(-(x1)(-(0.61235)(0.37819)))(x1))(x1))))(x1)))(0.38224))(0.50313))) | Numero de nos: 29 | Erro: 269952303104.0000000000000000000000000 |
MELHOR: (-(/(x1)(0.32170))(/(+(*(0.29295)(+(/(x1)(/(/(/(0.57244)(x1))(x1))(-(-(-(x1)(-(0.61235)(0.37819)))(x1))(x1))))(x1)))(0.38224))(0.50313))) | Numero de nos: 29 | Erro: 269727334400.0000000000000000000000000 |
MELHOR: (-(/(x1)(0.32170))(/(+(*(0.29295)(+(/(x1)(/(/(/(0.57244)(x1))(x1))(-(-(-(x1)(-(0.61235)(0.37819)))(x1))(x1))))(x1)))(0.38224))(0.50313))) | Numero de nos: 29 | Erro: 269727334400.0000000000000000000000000 |
MELHOR: (-(/(x1)(0.32170))(/(+(*(0.29295)(+(/(x1)(/(/(/(0.57244)(x1))(x1))(-(-(-(x1)(-(0.61235)(0.37819)))(x1))(x1))))(x1)))(0.38224))(0.50313))) | Numero de nos: 29 | Erro: 269727334400.0000000000000000000000000 |
