Seed 1: 
(*(/(x1)(0.00085))(+(-(*(0.00085)(*(*(x1)(x1))(x1)))(*(-(/(sin (+(x1)(0.01465)))(x1))(0.25501))(0.00085)))(*(*(0.00085)(+(x1)(x1)))(x1)))) | Numero de nos: 30 | Erro = 224091111424.0000000000000000000000000  
(*(/(x1)(0.00085))(+(-(*(0.00085)(*(*(x1)(x1))(x1)))(*(-(/(-(0.00085)(x1))(x1))(x1))(0.00085)))(*(*(0.00085)(+(x1)(0.00085)))(x1)))) | Numero de nos: 29 | Erro = 47.1892356872558590000000000  
(*(/(x1)(*(*(x1)(x1))(x1)))(*(x1)(0.53679))) | Numero de nos: 11 | Erro = 434176633339904.0000000000000000000000000  
(*(sqrt (x1))(+(-(*(0.00085)(*(*(x1)(x1))(x1)))(*(-(/(-(0.00085)(x1))(x1))(x1))(0.00085)))(*(*(0.00085)(+(x1)(0.00085)))(x1)))) | Numero de nos: 28 | Erro = 434131804618752.0000000000000000000000000  
(*(/(x1)(0.00085))(+(-(*(0.00085)(*(*(x1)(x1))(x1)))(*(-(/(-(0.00085)(x1))(x1))(x1))(0.00085)))(*(*(0.00085)(+(x1)(0.00085)))(sin (x1))))) | Numero de nos: 30 | Erro = 224719650816.0000000000000000000000000  
(*(/(x1)(0.00085))(+(-(*(0.00085)(*(*(x1)(x1))(x1)))(*(-(/(-(0.00085)(x1))(0.88021))(x1))(0.00085)))(*(*(0.00085)(+(0.00085)(0.00085)))(x1)))) | Numero de nos: 29 | Erro = 224650231808.0000000000000000000000000  
(*(/(x1)(+(sin (cos (*(*(x1)(x1))(x1))))(x1)))(+(-(*(0.00085)(*(*(x1)(x1))(x1)))(*(sin (x1))(0.75649)))(*(+(0.45457)(x1))(x1)))) | Numero de nos: 30 | Erro = 433731399581696.0000000000000000000000000  
(*(/(x1)(0.00085))(+(-(*(0.00085)(cos (*(x1)(x1))))(*(-(/(-(x1)(x1))(+(x1)(x1)))(x1))(0.00085)))(*(*(0.00085)(/(x1)(0.00085)))(0.57036)))) | Numero de nos: 30 | Erro = 191481134448640.0000000000000000000000000  
(*(sqrt (x1))(+(-(*(0.00085)(*(*(x1)(x1))(x1)))(*(-(/(-(0.00085)(*(x1)(x1)))(x1))(x1))(0.00085)))(*(*(0.00085)(+(x1)(0.00085)))(x1)))) | Numero de nos: 30 | Erro = 434131804618752.0000000000000000000000000  
(*(/(x1)(0.00085))(+(-(*(0.00085)(*(x1)(x1)))(*(-(*(*(0.00085)(x1))(x1))(sin (x1)))(0.00085)))(*(*(0.00085)(+(x1)(0.00085)))(x1)))) | Numero de nos: 28 | Erro = 437301356265472.0000000000000000000000000  
(*(/(x1)(0.00085))(+(-(*(0.00085)(*(0.23106)(x1)))(*(-(/(-(0.00085)(x1))(x1))(x1))(0.00085)))(*(*(0.00085)(+(x1)(x1)))(x1)))) | Numero de nos: 27 | Erro = 436751902441472.0000000000000000000000000  
(*(/(x1)(0.00085))(+(-(*(0.00085)(*(*(x1)(x1))(x1)))(*(-(/(sin (+(x1)(0.01465)))(0.00085))(0.25501))(0.00085)))(*(*(x1)(+(x1)(x1)))(x1)))) | Numero de nos: 30 | Erro = 2383288878730794000000.0000000000000000000000000  
