/*-----------------------------------------------------------------
* NUMERO INDIVIDUOS: 100 	 CROSS-OVER: 0.90
* NUMERO GERACOES  : 1000 	 MUTACAO   : 0.40
* NUM MAXIMO NOS   : 30 	 ELITISMO  : 0.05
* PROFUNDIDADE MAX : 3 	 
*-----------------------------------------------------------------*/
Seed 3: 
MELHOR: (/(*(*(/(/(*(-(x1)(0.44041))(x1))(*(0.05002)(0.05676)))(/(0.05899)(x1)))(x1))(+(+(x1)(0.67296))(x1)))(*(*(x1)(x1))(/(x1)(0.14670)))) | Numero de nos: 29 | Erro: 35545619103744.0000000000000000000000000 |
MELHOR: (/(*(*(/(/(*(-(x1)(0.05267))(x1))(*(0.05002)(0.05676)))(/(0.05899)(x1)))(x1))(+(+(x1)(0.67296))(x1)))(*(*(x1)(x1))(/(x1)(0.14670)))) | Numero de nos: 29 | Erro: 35530242785280.0000000000000000000000000 |
MELHOR: (/(*(*(/(/(*(-(x1)(0.05267))(x1))(*(0.05002)(0.05676)))(/(0.05899)(x1)))(x1))(+(+(x1)(0.67296))(x1)))(*(*(x1)(x1))(/(x1)(0.14670)))) | Numero de nos: 29 | Erro: 35530242785280.0000000000000000000000000 |
MELHOR: (/(*(*(/(/(*(-(x1)(0.05267))(x1))(*(0.05002)(0.05676)))(/(0.05899)(x1)))(x1))(+(+(x1)(0.67296))(x1)))(*(*(x1)(x1))(/(x1)(0.14670)))) | Numero de nos: 29 | Erro: 35530242785280.0000000000000000000000000 |
MELHOR: (/(*(*(/(/(*(-(x1)(0.05267))(x1))(*(0.05002)(0.05676)))(/(0.05899)(x1)))(x1))(+(+(x1)(0.67296))(x1)))(*(*(x1)(x1))(/(x1)(0.14670)))) | Numero de nos: 29 | Erro: 35530242785280.0000000000000000000000000 |
MELHOR: (/(*(*(/(/(*(-(x1)(0.05267))(x1))(*(0.05002)(0.05676)))(/(0.05899)(x1)))(x1))(+(+(x1)(0.67296))(x1)))(*(*(x1)(x1))(/(x1)(0.14670)))) | Numero de nos: 29 | Erro: 35530242785280.0000000000000000000000000 |
MELHOR: (/(*(*(/(/(*(-(x1)(0.05267))(x1))(*(0.05002)(0.05676)))(/(0.05899)(x1)))(x1))(+(+(x1)(0.67296))(x1)))(*(*(x1)(x1))(/(x1)(0.14670)))) | Numero de nos: 29 | Erro: 35530242785280.0000000000000000000000000 |
MELHOR: (/(*(*(/(/(*(-(x1)(0.05267))(x1))(*(0.05002)(0.05676)))(/(0.05899)(x1)))(x1))(+(+(x1)(0.67296))(x1)))(*(*(x1)(x1))(/(x1)(0.14670)))) | Numero de nos: 29 | Erro: 35530242785280.0000000000000000000000000 |
MELHOR: (/(*(*(/(/(*(-(x1)(0.05267))(x1))(*(0.05002)(0.05676)))(/(0.05899)(x1)))(x1))(+(+(x1)(0.67296))(x1)))(*(*(x1)(x1))(/(x1)(0.14670)))) | Numero de nos: 29 | Erro: 35530242785280.0000000000000000000000000 |
MELHOR: (/(*(*(/(/(*(-(x1)(0.05267))(x1))(*(0.05002)(0.05676)))(/(0.05899)(x1)))(x1))(+(+(x1)(0.67296))(x1)))(*(*(x1)(x1))(/(x1)(0.14670)))) | Numero de nos: 29 | Erro: 35530242785280.0000000000000000000000000 |
