/*-----------------------------------------------------------------
* NUMERO INDIVIDUOS: 100 	 CROSS-OVER: 0.90
* NUMERO GERACOES  : 1000 	 MUTACAO   : 0.40
* NUM MAXIMO NOS   : 30 	 ELITISMO  : 0.05
* PROFUNDIDADE MAX : 3 	 
*-----------------------------------------------------------------*/
Seed 2: 
(/(*(/(0.80441)(x1))(-(x1)(x1)))(/(+(x1)(0.90896))(/(0.10028)(x1)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(+(*(-(0.94464)(x1))(-(x1)(x1)))(+(*(x1)(0.79412))(/(0.28053)(0.92010)))) | Numero de nos: 15 | Erro: 434176700448768.0000000000000000000000000 |
(-(+(+(0.44945)(x1))(/(0.94378)(x1)))(/(/(x1)(x1))(/(0.04962)(0.84265)))) | Numero de nos: 15 | Erro: 434181062524928.0000000000000000000000000 |

MELHOR: (*(-(-(x1)(x1))(*(x1)(x1)))(*(/(x1)(x1))(*(-(0.05487)(x1))(+(*(-(/(+(0.98501)(0.59221))(-(0.91827)(0.02176)))(x1))(0.40516))(x1))))) | Numero de nos: 29 | Erro: 71428216979456.0000000000000000000000000 |
MELHOR: (*(-(-(x1)(x1))(*(x1)(x1)))(*(/(x1)(x1))(*(-(0.05487)(x1))(+(*(-(0.62374)(x1))(0.40516))(x1))))) | Numero de nos: 23 | Erro: 71245303382016.0000000000000000000000000 |
MELHOR: (*(-(-(x1)(x1))(*(x1)(x1)))(*(/(x1)(x1))(*(-(0.05487)(x1))(+(*(-(0.62374)(x1))(0.40516))(x1))))) | Numero de nos: 23 | Erro: 71245303382016.0000000000000000000000000 |
MELHOR: (*(-(-(x1)(x1))(*(x1)(x1)))(*(/(x1)(x1))(*(-(0.05487)(x1))(+(*(-(/(+(0.98501)(x1))(-(0.91827)(0.02176)))(x1))(0.40516))(x1))))) | Numero de nos: 29 | Erro: 1058712911872.0000000000000000000000000 |
MELHOR: (*(-(-(x1)(x1))(*(x1)(x1)))(*(/(x1)(x1))(*(-(0.05487)(x1))(+(*(-(/(+(0.98501)(x1))(-(0.91827)(0.02176)))(x1))(0.40516))(x1))))) | Numero de nos: 29 | Erro: 1058712911872.0000000000000000000000000 |
MELHOR: (*(-(-(x1)(x1))(*(x1)(x1)))(*(/(x1)(x1))(*(-(0.05487)(x1))(+(*(/(0.05087)(0.48231))(0.40516))(x1))))) | Numero de nos: 23 | Erro: 228728881152.0000000000000000000000000 |
MELHOR: (*(-(-(x1)(x1))(*(x1)(x1)))(*(/(x1)(x1))(*(-(0.05487)(x1))(+(+(/(0.58864)(x1))(/(+(/(x1)(x1))(x1))(x1)))(x1))))) | Numero de nos: 29 | Erro: 741988608.0000000000000000000000000 |
MELHOR: (*(-(-(x1)(x1))(*(x1)(x1)))(*(/(x1)(x1))(*(-(0.05487)(x1))(+(+(*(0.86517)(-(x1)(x1)))(/(+(x1)(0.41234))(x1)))(x1))))) | Numero de nos: 29 | Erro: 716655488.0000000000000000000000000 |
MELHOR: (*(-(-(x1)(x1))(*(x1)(x1)))(*(/(x1)(x1))(*(-(0.05487)(x1))(+(+(*(0.86517)(-(x1)(x1)))(/(+(x1)(0.41234))(x1)))(x1))))) | Numero de nos: 29 | Erro: 716655488.0000000000000000000000000 |
MELHOR: (*(-(-(x1)(x1))(*(x1)(x1)))(*(/(x1)(x1))(*(-(0.05487)(x1))(+(+(*(0.86517)(-(x1)(x1)))(/(+(x1)(0.41234))(x1)))(x1))))) | Numero de nos: 29 | Erro: 716655488.0000000000000000000000000 |
MELHOR: (*(-(-(x1)(x1))(*(x1)(x1)))(*(/(x1)(x1))(*(-(0.05487)(x1))(+(+(*(0.86517)(-(x1)(x1)))(/(+(x1)(0.57634))(x1)))(x1))))) | Numero de nos: 29 | Erro: 699428096.0000000000000000000000000 |
MELHOR: (*(-(-(0.88162)(x1))(*(x1)(x1)))(*(/(x1)(x1))(*(-(0.05487)(x1))(+(+(/(0.58864)(x1))(/(+(/(0.06879)(0.05487))(0.41234))(x1)))(x1))))) | Numero de nos: 29 | Erro: 680190848.0000000000000000000000000 |
MELHOR: (*(-(-(0.88162)(x1))(*(x1)(x1)))(*(/(x1)(x1))(*(-(0.05487)(x1))(+(+(/(0.58864)(x1))(/(+(/(0.06879)(0.05487))(0.41234))(x1)))(x1))))) | Numero de nos: 29 | Erro: 680190848.0000000000000000000000000 |
