/*-----------------------------------------------------------------
* NUMERO INDIVIDUOS: 100 	 CROSS-OVER: 0.90
* NUMERO GERACOES  : 1000 	 MUTACAO   : 0.30
* NUM MAXIMO NOS   : 30 	 ELITISMO  : 0.05
* PROFUNDIDADE MAX : 3 	 
*-----------------------------------------------------------------*/
Seed 10: 
MELHOR: (+(*(+(-(/(+(0.12717)(*(+(*(*(+(0.98187)(x1))(x1))(x1))(0.20859))(x1)))(x1))(0.69512))(x1))(x1))(0.69512)) | Numero de nos: 23 | Erro: 80376016.0000000000000000000000000 |
MELHOR: (+(*(+(/(+(0.12717)(*(+(*(*(+(0.98187)(x1))(x1))(x1))(0.20859))(x1)))(x1))(x1))(x1))(0.69512)) | Numero de nos: 21 | Erro: 77086312.0000000000000000000000000 |
MELHOR: (+(*(+(-(/(+(x1)(*(+(*(+(+(+(+(0.08725)(0.35606))(x1))(0.23402))(*(x1)(x1)))(x1))(x1))(x1)))(x1))(0.35679))(0.85998))(x1))(x1)) | Numero de nos: 29 | Erro: 57204612.0000000000000000000000000 |
MELHOR: (+(*(+(-(/(+(x1)(*(+(*(+(+(+(+(0.08725)(0.35606))(x1))(0.23402))(*(x1)(x1)))(x1))(x1))(x1)))(x1))(0.35679))(0.85998))(x1))(x1)) | Numero de nos: 29 | Erro: 57204612.0000000000000000000000000 |
MELHOR: (+(*(+(-(/(+(x1)(*(+(*(+(+(+(/(0.70159)(x1))(x1))(0.23402))(*(x1)(x1)))(x1))(x1))(x1)))(x1))(0.35679))(0.85998))(x1))(x1)) | Numero de nos: 29 | Erro: 7085356.0000000000000000000000000 |
MELHOR: (+(*(+(-(/(+(0.35679)(*(+(*(+(x1)(*(x1)(x1)))(x1))(x1))(x1)))(x1))(0.35679))(0.85998))(x1))(x1)) | Numero de nos: 23 | Erro: 21037.6640625000000000000000000 |
MELHOR: (+(*(+(-(/(+(0.35679)(*(+(*(+(x1)(*(x1)(x1)))(x1))(x1))(x1)))(x1))(0.35679))(0.85998))(x1))(x1)) | Numero de nos: 23 | Erro: 21037.6640625000000000000000000 |
MELHOR: (+(*(+(-(/(+(0.35679)(*(+(*(+(x1)(*(x1)(x1)))(x1))(x1))(x1)))(x1))(0.35679))(0.85998))(x1))(0.69512)) | Numero de nos: 23 | Erro: 20703.4121093750000000000000000 |
MELHOR: (+(*(+(-(/(+(x1)(*(/(+(0.23402)(*(+(*(+(x1)(*(x1)(x1)))(x1))(x1))(x1)))(x1))(x1)))(x1))(x1))(x1))(x1))(0.43999)) | Numero de nos: 29 | Erro: 11.0428295135498050000000000 |
MELHOR: (+(*(+(-(/(+(x1)(*(/(+(0.23402)(*(+(*(+(x1)(*(x1)(x1)))(x1))(x1))(x1)))(x1))(x1)))(x1))(x1))(x1))(x1))(0.43999)) | Numero de nos: 29 | Erro: 11.0428295135498050000000000 |
MELHOR: (+(*(+(-(/(+(x1)(*(/(+(0.35679)(*(+(*(+(x1)(*(x1)(x1)))(x1))(x1))(x1)))(x1))(x1)))(x1))(x1))(x1))(x1))(0.35606)) | Numero de nos: 29 | Erro: 9.9349555969238281000000000 |
MELHOR: (+(*(+(-(/(+(x1)(*(/(+(0.35679)(*(+(*(+(x1)(*(x1)(x1)))(x1))(x1))(x1)))(x1))(x1)))(x1))(x1))(x1))(x1))(0.35606)) | Numero de nos: 29 | Erro: 9.9349555969238281000000000 |
MELHOR: (+(*(+(-(/(+(x1)(*(/(+(0.35679)(*(+(*(+(x1)(*(x1)(x1)))(x1))(x1))(x1)))(x1))(x1)))(x1))(x1))(x1))(x1))(0.35606)) | Numero de nos: 29 | Erro: 9.9349555969238281000000000 |
MELHOR: (+(*(+(-(/(+(x1)(*(/(+(0.35679)(*(+(*(+(x1)(*(x1)(x1)))(x1))(x1))(x1)))(x1))(x1)))(x1))(x1))(x1))(x1))(0.35606)) | Numero de nos: 29 | Erro: 9.9349555969238281000000000 |
