/*-----------------------------------------------------------------
* NUMERO INDIVIDUOS: 100 	 CROSS-OVER: 0.90
* NUMERO GERACOES  : 1000 	 MUTACAO   : 0.50
* NUM MAXIMO NOS   : 30 	 ELITISMO  : 0.05
* PROFUNDIDADE MAX : 3 	 
*-----------------------------------------------------------------*/
Seed 5: 
MELHOR: (*(+(0.36180)(+(*(*(*(+(-(+(-(x1)(-(0.83270)(+(x1)(x1))))(/(x1)(x1)))(0.08890))(*(x1)(0.95041)))(x1))(0.25404))(x1))(0.84317)))(x1)) | Numero de nos: 29 | Erro: 223485820928.0000000000000000000000000 |
MELHOR: (*(+(0.36180)(+(*(*(*(+(-(+(-(x1)(-(0.83270)(+(x1)(x1))))(/(x1)(x1)))(0.08890))(*(x1)(0.95041)))(x1))(0.25404))(x1))(0.84317)))(x1)) | Numero de nos: 29 | Erro: 223485820928.0000000000000000000000000 |
MELHOR: (*(+(0.36180)(+(*(*(*(+(-(+(-(x1)(-(0.83270)(+(x1)(x1))))(/(x1)(x1)))(0.08890))(*(x1)(0.95041)))(x1))(0.25404))(x1))(0.84317)))(x1)) | Numero de nos: 29 | Erro: 223485820928.0000000000000000000000000 |
MELHOR: (*(+(0.36180)(+(*(*(*(+(-(+(-(x1)(-(0.25404)(+(x1)(x1))))(/(x1)(x1)))(0.08890))(*(x1)(0.95041)))(x1))(0.25404))(x1))(0.84317)))(x1)) | Numero de nos: 29 | Erro: 163192012800.0000000000000000000000000 |
MELHOR: (*(+(0.36180)(+(*(*(*(+(-(+(-(x1)(-(0.25404)(+(x1)(x1))))(/(x1)(x1)))(0.08890))(*(x1)(0.95041)))(x1))(0.25404))(x1))(0.84317)))(x1)) | Numero de nos: 29 | Erro: 163192012800.0000000000000000000000000 |
MELHOR: (*(+(0.36180)(+(*(*(*(+(-(+(-(x1)(-(0.25404)(+(x1)(x1))))(/(x1)(x1)))(0.08890))(*(x1)(0.95041)))(x1))(0.25404))(x1))(0.84317)))(x1)) | Numero de nos: 29 | Erro: 163192012800.0000000000000000000000000 |
MELHOR: (*(+(0.36180)(+(*(*(*(+(-(+(-(x1)(-(0.07480)(+(x1)(x1))))(/(x1)(x1)))(0.08890))(*(x1)(0.95041)))(x1))(0.25404))(x1))(0.84317)))(x1)) | Numero de nos: 29 | Erro: 146476580864.0000000000000000000000000 |
MELHOR: (*(+(0.36180)(+(*(*(*(+(-(+(-(x1)(-(0.07480)(+(x1)(x1))))(/(x1)(x1)))(0.08890))(*(x1)(0.95041)))(x1))(0.25404))(x1))(0.84317)))(x1)) | Numero de nos: 29 | Erro: 146476580864.0000000000000000000000000 |
MELHOR: (*(+(0.36180)(+(*(*(*(+(-(+(-(x1)(-(0.07480)(+(x1)(x1))))(/(x1)(x1)))(0.08890))(*(x1)(0.95041)))(x1))(0.25404))(x1))(0.84317)))(x1)) | Numero de nos: 29 | Erro: 146476580864.0000000000000000000000000 |
MELHOR: (*(+(0.36180)(+(*(*(*(+(-(+(-(x1)(-(0.07480)(+(x1)(x1))))(/(x1)(x1)))(0.08890))(*(x1)(0.95041)))(x1))(0.25404))(x1))(0.84317)))(x1)) | Numero de nos: 29 | Erro: 146476580864.0000000000000000000000000 |
MELHOR: (*(+(0.36180)(+(*(*(*(+(-(+(-(x1)(-(0.07480)(+(x1)(x1))))(/(x1)(x1)))(0.08890))(*(x1)(0.95041)))(x1))(0.25404))(x1))(0.84317)))(x1)) | Numero de nos: 29 | Erro: 146476580864.0000000000000000000000000 |
MELHOR: (*(+(0.36180)(+(*(*(*(+(-(+(-(x1)(-(0.07480)(+(x1)(x1))))(/(x1)(x1)))(0.08890))(*(x1)(0.95041)))(x1))(0.25404))(x1))(0.84317)))(x1)) | Numero de nos: 29 | Erro: 146476580864.0000000000000000000000000 |
MELHOR: (*(+(0.36180)(+(*(*(*(+(-(+(-(x1)(-(0.07480)(+(x1)(x1))))(/(x1)(x1)))(0.08890))(*(x1)(0.95041)))(x1))(0.25404))(x1))(0.84317)))(x1)) | Numero de nos: 29 | Erro: 146476580864.0000000000000000000000000 |
MELHOR: (*(+(0.98822)(+(*(*(*(+(-(+(-(x1)(-(0.07480)(+(x1)(x1))))(/(x1)(x1)))(0.08890))(*(x1)(0.95041)))(x1))(0.25404))(x1))(0.84317)))(x1)) | Numero de nos: 29 | Erro: 146352193536.0000000000000000000000000 |
MELHOR: (*(+(0.98822)(+(*(*(*(+(-(+(-(x1)(-(0.07480)(+(x1)(x1))))(/(x1)(x1)))(0.08890))(*(x1)(0.95041)))(x1))(0.25404))(x1))(0.84317)))(x1)) | Numero de nos: 29 | Erro: 146352193536.0000000000000000000000000 |
MELHOR: (*(+(0.98822)(+(*(*(*(+(-(+(-(x1)(-(0.07480)(+(x1)(x1))))(/(x1)(x1)))(0.08890))(*(x1)(0.95041)))(x1))(0.25404))(x1))(0.84317)))(x1)) | Numero de nos: 29 | Erro: 146352193536.0000000000000000000000000 |
MELHOR: (*(+(0.98822)(+(*(*(*(+(-(+(-(x1)(-(0.07480)(+(x1)(x1))))(/(x1)(x1)))(0.08890))(*(x1)(0.95041)))(x1))(0.25404))(x1))(0.84317)))(x1)) | Numero de nos: 29 | Erro: 146352193536.0000000000000000000000000 |
